Importing IMU data from the Matlab matrix file : test_data/xsens_acc.mat
Importing IMU data from the Matlab matrix file : test_data/xsens_gyro.mat
Accelerometer Calibration: Calibrating...
Accelerometers Calibration: Extracted 42 intervals using threshold multiplier 2 -> Trying calibrate... 
iter      cost      cost_change  |gradient|   |step|    tr_ratio  tr_radius  ls_iter  iter_time  total_time
  27  2.623344e+17    1.17e+16    1.17e+18   1.41e+00   5.89e-01  1.57e+00        1    8.14e-04    2.30e-02
  28  2.510467e+17    1.13e+16    1.14e+18   1.32e+00   5.88e-01  1.58e+00        1    1.14e-03    2.41e-02
  29  2.401895e+17    1.09e+16    1.10e+18   1.24e+00   5.86e-01  1.59e+00        1    9.44e-04    2.51e-02
  30  2.297522e+17    1.04e+16    1.07e+18   1.17e+00   5.84e-01  1.60e+00        1    8.69e-04    2.59e-02
  31  2.197236e+17    1.00e+16    1.04e+18   1.11e+00   5.83e-01  1.61e+00        1    8.69e-04    2.68e-02
  32  2.100921e+17    9.63e+15    1.01e+18   1.05e+00   5.81e-01  1.61e+00        1    9.08e-04    2.77e-02
  33  2.008461e+17    9.25e+15    9.82e+17   9.98e-01   5.80e-01  1.62e+00        1    8.74e-04    2.86e-02
  34  1.919736e+17    8.87e+15    9.52e+17   9.50e-01   5.78e-01  1.62e+00        1    8.15e-04    2.94e-02
  35  1.834628e+17    8.51e+15    9.24e+17   9.06e-01   5.77e-01  1.63e+00        1    8.67e-04    3.03e-02
  36  1.753019e+17    8.16e+15    8.96e+17   8.65e-01   5.76e-01  1.64e+00        1    8.73e-04    3.12e-02
  37  1.674789e+17    7.82e+15    8.68e+17   8.28e-01   5.75e-01  1.64e+00        1    9.31e-04    3.21e-02
  38  1.599823e+17    7.50e+15    8.42e+17   7.93e-01   5.73e-01  1.65e+00        1    8.70e-04    3.30e-02
  39  1.528005e+17    7.18e+15    8.16e+17   7.61e-01   5.72e-01  1.65e+00        1    8.79e-04    3.39e-02
  40  1.459223e+17    6.88e+15    7.90e+17   7.32e-01   5.71e-01  1.66e+00        1    8.47e-04    3.48e-02
  41  1.393364e+17    6.59e+15    7.66e+17   7.05e-01   5.70e-01  1.66e+00        1    9.05e-04    3.57e-02
  42  1.330321e+17    6.30e+15    7.42e+17   6.81e-01   5.69e-01  1.67e+00        1    8.49e-04    3.65e-02
  43  1.269986e+17    6.03e+15    7.18e+17   6.58e-01   5.68e-01  1.67e+00        1    9.59e-04    3.75e-02
